checklist_id,term,baseline_rating,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,relocation_priority,conceptual_home,decision,reason_code,reason_why,reason_quality,before_evidence_ref,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,phase2_status,final_quality,notes
PQ-001,[unifiable type]s,poor,types-and-traits.rst,2058,fls_aie0tr62vhw5,Type Unification,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,88,patterns.rst,Patterns,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before types-and-traits.rst:2058 fls_aie0tr62vhw5 delayed this definition and reduced first-use discoverability. After patterns.rst:88 fls_kv533rntni1x defines it where pattern constraints first depend on it with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=[unifiable type]s,patterns.rst,88,fls_kv533rntni1x,Patterns,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/patterns.rst:88,completed,pending,resolved-high,
PQ-002,alignment,poor,types-and-traits.rst,1688,fls_muxfn9soi47l,Type Layout,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1661,types-and-traits.rst,Type Layout,high,false,reordered definition earlier,retain-reordered,Before types-and-traits.rst:1688 fls_muxfn9soi47l defined alignment after dependent rules and weakened ordering discoverability. After types-and-traits.rst:1661 fls_kdbq02iguzgl introduces alignment at section entry with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=alignment,types-and-traits.rst,1661,fls_kdbq02iguzgl,Type Layout,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/types-and-traits.rst:1661,completed,pending,resolved-high,
PQ-003,arity,poor,types-and-traits.rst,708,fls_ivWBnhfOZUrW,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,1059,patterns.rst,Tuple Struct Patterns,high,false,relocated to first use,relocate-first-use-owner,Before types-and-traits.rst:708 fls_ivWBnhfOZUrW separated arity from the tuple struct pattern rule that consumes it. After patterns.rst:1059 fls_w369n8lmwr7g places the definition at first use and improves discoverability without Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=arity,patterns.rst,1059,fls_w369n8lmwr7g,Tuple Struct Patterns,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/patterns.rst:1059,completed,pending,resolved-high,
PQ-004,associated trait constant,poor,associated-items.rst,115,fls_x564isbhobym,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3692,implementations.rst,Implementation Conformance,low_forward_ref,true,relocated to conceptual owner,relocate-conceptual-owner,Before associated-items.rst:115 fls_x564isbhobym defined this term away from the conformance rules that govern it. After implementations.rst:213 fls_v31idwjau90d defines it in implementation conformance improving ownership and discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=associated trait constant,implementations.rst,213,fls_v31idwjau90d,Implementation Conformance,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/implementations.rst:213,completed,pending,resolved-high,
PQ-005,attribute content,poor,attributes.rst,59,fls_9TMRVlQwAdTB,Attributes,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,862,macros.rst,Token Matching,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before attributes.rst:59 fls_9TMRVlQwAdTB required forward lookup from macro token matching. After macros.rst:862 fls_wtol98rrqka5 defines attribute content where fragment restrictions first use it improving first-use discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=attribute content,macros.rst,862,fls_wtol98rrqka5,Token Matching,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/macros.rst:862,completed,pending,resolved-high,
PQ-006,borrowed,poor,ownership-and-deconstruction.rst,168,fls_yL6cMahJUIqO,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1008,expressions.rst,Borrow Expression,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before ownership-and-deconstruction.rst:168 fls_yL6cMahJUIqO defined borrowed away from borrow expression operational rules. After expressions.rst:1008 fls_ya77l2zgtilp defines borrowed at first use in expression semantics improving discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=borrowed,expressions.rst,1008,fls_ya77l2zgtilp,Borrow Expression,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/expressions.rst:1008,completed,pending,resolved-high,
PQ-007,c,poor,ffi.rst,65,fls_EcG0AVDg8TUj,ABI,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1225,types-and-traits.rst,Function Pointer Types,high,false,relocated to first use,relocate-first-use-owner,Before ffi.rst:65 fls_EcG0AVDg8TUj forced cross-chapter lookup from function pointer variadic semantics. After types-and-traits.rst:1225 fls_B0SMXRqQMS1E defines C at first use in variadic typing and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=c,types-and-traits.rst,1225,fls_B0SMXRqQMS1E,Function Pointer Types,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/types-and-traits.rst:1225,completed,pending,resolved-high,
PQ-008,code point,poor,lexical-elements.rst,34,fls_4h2v3pk7qz6n,Character Set,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2219,expressions.rst,Type Cast Expressions,high,false,relocated to first use,relocate-first-use-owner,Before lexical-elements.rst:34 fls_4h2v3pk7qz6n was remote from the cast rule that consumes code point values. After expressions.rst:2220 fls_eb00s8fxlvjb defines code point at first use in cast semantics and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=code point,expressions.rst,2220,fls_eb00s8fxlvjb,Type Cast Expressions,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/expressions.rst:2220,completed,pending,resolved-high,
PQ-009,constant function,poor,functions.rst,173,fls_2049qu3ji5x7,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,200,expressions.rst,Constant Expressions,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before functions.rst:173 fls_2049qu3ji5x7 made constant expressions refer forward for a core requirement. After expressions.rst:200 fls_490a1b74fut6 defines constant function where constant expression rules first require it improving discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=constant function,expressions.rst,200,fls_490a1b74fut6,Constant Expressions,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/expressions.rst:200,completed,pending,resolved-high,
PQ-010,construct,poor,entities-and-resolution.rst,26,fls_t1kEzrZaE1Af,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,general.rst,158,generics.rst,Where Clauses,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before entities-and-resolution.rst:26 fls_t1kEzrZaE1Af delayed construct for readers of the global chapter structure. After general.rst:158 fls_oxzjqxgejx9t defines construct at first methodological use and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=construct,general.rst,158,fls_oxzjqxgejx9t,Method of Description and Syntax Notation,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/general.rst:158,completed,pending,resolved-high,
PQ-011,container operand,poor,expressions.rst,3718,fls_s2vpn4ihenpe,Field Access Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,454,entities-and-resolution.rst,Field Resolution,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before expressions.rst:3718 fls_s2vpn4ihenpe deferred container operand until late field access details. After expressions.rst:454 fls_xm0gm2q27x2e defines it where mutability rules first depend on it improving ordering discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=container operand,expressions.rst,454,fls_xm0gm2q27x2e,Place Expressions,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/expressions.rst:454,completed,pending,resolved-high,
