checklist_id,term,baseline_rating,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,relocation_priority,conceptual_home,decision,reason_code,reason_why,reason_quality,before_evidence_ref,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,phase2_status,final_quality,notes
PQ-001,[unifiable type]s,poor,types-and-traits.rst,2058,fls_aie0tr62vhw5,Type Unification,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,88,patterns.rst,Patterns,low_forward_ref,true,relocated,relocate-first-use-owner,Before types-and-traits.rst:2058 fls_aie0tr62vhw5 was distant from first normative use and reduced discoverability; after patterns.rst:88 fls_kv533rntni1x defines it at the pattern typing constraint point with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=[unifiable type]s,patterns.rst,88,fls_kv533rntni1x,Patterns,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/patterns.rst:88,completed,not-started,resolved-high,
PQ-002,alignment,poor,types-and-traits.rst,1688,fls_muxfn9soi47l,Type Layout,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1661,types-and-traits.rst,Type Layout,high,false,reordered,retain-reordered,Before types-and-traits.rst:1688 fls_muxfn9soi47l placed the definition after dependent wording; after types-and-traits.rst:1661 fls_kdbq02iguzgl the definition appears at first mention in Type Layout for earlier discovery with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=alignment,types-and-traits.rst,1661,fls_kdbq02iguzgl,Type Layout,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/types-and-traits.rst:1661,completed,not-started,resolved-high,
PQ-003,arity,poor,types-and-traits.rst,708,fls_ivWBnhfOZUrW,Tuple Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,1059,patterns.rst,Tuple Struct Patterns,high,false,relocated,relocate-first-use-owner,Before types-and-traits.rst:708 fls_ivWBnhfOZUrW separated the term from tuple struct pattern matching rules; after patterns.rst:1059 fls_w369n8lmwr7g the definition is at first operative use and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=arity,patterns.rst,1059,fls_w369n8lmwr7g,Tuple Struct Patterns,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/patterns.rst:1059,completed,not-started,resolved-high,
PQ-004,associated trait constant,poor,associated-items.rst,115,fls_x564isbhobym,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3692,implementations.rst,Implementation Conformance,low_forward_ref,true,relocated,relocate-conceptual-owner,Before associated-items.rst:115 fls_x564isbhobym the definition was broad and far from conformance rules; after implementations.rst:213 fls_v31idwjau90d it is anchored where trait constant conformance is specified and keeps Rust 2021 meaning unchanged.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=associated trait constant,implementations.rst,213,fls_v31idwjau90d,Implementation Conformance,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/implementations.rst:213,completed,not-started,resolved-high,
PQ-005,attribute content,poor,attributes.rst,59,fls_9TMRVlQwAdTB,Attributes,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,862,macros.rst,Token Matching,low_forward_ref,true,relocated,relocate-first-use-owner,Before attributes.rst:59 fls_9TMRVlQwAdTB the term was detached from macro matcher requirements; after macros.rst:862 fls_wtol98rrqka5 it is defined at the fragment specifier rule that uses it and semantics remain identical for Rust 2021.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=attribute content,macros.rst,862,fls_wtol98rrqka5,Token Matching,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/macros.rst:862,completed,not-started,resolved-high,
PQ-006,borrowed,poor,ownership-and-deconstruction.rst,168,fls_yL6cMahJUIqO,Borrowing,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1008,expressions.rst,Borrow Expression,low_forward_ref,true,relocated,relocate-first-use-owner,Before ownership-and-deconstruction.rst:168 fls_yL6cMahJUIqO the term was distant from borrow expression behavior; after expressions.rst:1008 fls_ya77l2zgtilp it is defined at the transition to borrowed state and preserves Rust 2021 semantics.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=borrowed,expressions.rst,1008,fls_ya77l2zgtilp,Borrow Expression,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/expressions.rst:1008,completed,not-started,resolved-high,
PQ-007,c,poor,ffi.rst,65,fls_EcG0AVDg8TUj,ABI,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1225,types-and-traits.rst,Function Pointer Types,high,false,relocated,relocate-first-use-owner,Before ffi.rst:65 fls_EcG0AVDg8TUj the short term was remote from variadic typing constraints; after types-and-traits.rst:1225 fls_B0SMXRqQMS1E it is defined where C-like variadics are constrained and Rust 2021 meaning is unchanged.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=c,types-and-traits.rst,1225,fls_B0SMXRqQMS1E,Function Pointer Types,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/types-and-traits.rst:1225,completed,not-started,resolved-high,
PQ-008,code point,poor,lexical-elements.rst,34,fls_4h2v3pk7qz6n,Character Set,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,2219,expressions.rst,Type Cast Expressions,high,false,relocated,relocate-first-use-owner,Before lexical-elements.rst:34 fls_4h2v3pk7qz6n the definition was detached from cast semantics that consume it; after expressions.rst:2220 fls_eb00s8fxlvjb it is at the primitive cast rule and does not alter Rust 2021 behavior.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=code point,expressions.rst,2220,fls_eb00s8fxlvjb,Type Cast Expressions,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/expressions.rst:2220,completed,not-started,resolved-high,
PQ-009,constant function,poor,functions.rst,173,fls_2049qu3ji5x7,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,200,expressions.rst,Constant Expressions,low_forward_ref,true,relocated,relocate-first-use-owner,Before functions.rst:173 fls_2049qu3ji5x7 the definition was outside the constant-expression admission rules; after expressions.rst:200 fls_490a1b74fut6 it appears where call eligibility is checked and Rust 2021 semantics remain the same.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=constant function,expressions.rst,200,fls_490a1b74fut6,Constant Expressions,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/expressions.rst:200,completed,not-started,resolved-high,
PQ-010,construct,poor,entities-and-resolution.rst,26,fls_t1kEzrZaE1Af,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,general.rst,158,generics.rst,Where Clauses,low_forward_ref,true,relocated,relocate-first-use-owner,Before entities-and-resolution.rst:26 fls_t1kEzrZaE1Af the definition was far from active generic legality checks; after generics.rst:283 fls_3nqb7p5ifvio it sits in where-clause validity wording and keeps Rust 2021 meaning unchanged.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=construct,generics.rst,283,fls_3nqb7p5ifvio,Where Clauses,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/generics.rst:283,completed,not-started,resolved-high,
