checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes
WA-001,value,WA,v2-foundational,expressions.rst,2214,fls_buyaqara7am4,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=value,move,Moved canonical :dt: from expressions.rst::Type Cast Expressions to expressions.rst::Type Cast Expressions and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before values.rst:14 fls_buyaqara7am4 isolated the core term from cast semantics in this remediation path; after expressions.rst:2199 fls_buyaqara7am4 it is colocated with active cast rules and no Rust 2021 semantic change is introduced.,pass,none,none,expressions.rst,2199,fls_buyaqara7am4,Type Cast Expressions,3e76012a8b3c70058bfbdcddb7156b1dbd284cb0,src/expressions.rst:2199,completed,resolved-high,3e76012a8b3c,,,Imported from prior remediation ledger row PQ-070
WA-002,expression,WA,v2-foundational,types-and-traits.rst,2522,fls_h5o6tgul4yor,Type Inference,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,648,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=expression,move,Moved canonical :dt: from types-and-traits.rst::Type Inference to types-and-traits.rst::Type Inference and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before expressions.rst:78 fls_h5o6tgul4yor the term appeared in introductory text only; after types-and-traits.rst:2570 fls_htLp5J5ObgNh it is defined at a type-inference root use site and keeps Rust 2021 semantics unchanged.,pass,none,none,types-and-traits.rst,2570,fls_htLp5J5ObgNh,Type Inference,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/types-and-traits.rst:2570,completed,resolved-high,e36e04ac1815,,,Imported from prior remediation ledger row PQ-014
WA-003,type,WA,v2-foundational,types-and-traits.rst,2240,fls_4rhjpdu4zfqj,Type Coercion,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,614,,,none,acceptable,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=type,move,Moved canonical :dt: from types-and-traits.rst::Type Coercion to types-and-traits.rst::Type Coercion and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:50 fls_4rhjpdu4zfqj was separated from the coercion legality where this batch first depends on the concept; after types-and-traits.rst:2239 fls_4rhjpdu4zfqj it is colocated with that rule and keeps Rust 2021 semantics unchanged.,pass,none,none,types-and-traits.rst,2239,fls_4rhjpdu4zfqj,Type Coercion,26e6f487a9270d75b1ff58d17e6bf82f81f89405,src/types-and-traits.rst:2239,completed,resolved-high,26e6f487a927,,,Imported from prior remediation ledger row PQ-190
WA-004,trait,WA,v2-foundational,entities-and-resolution.rst,1758,fls_tani6lesan9u,Path Expression Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,222,expressions.rst,Constant Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=trait,move,Moved canonical :dt: from entities-and-resolution.rst::Path Expression Resolution to entities-and-resolution.rst::Path Expression Resolution and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:3027 fls_tani6lesan9u delayed the term for path lookup readers; after entities-and-resolution.rst:1746 fls_qbmp0blpoxx9 it is defined at path expression resolution lookup and preserves Rust 2021 meaning.,pass,none,none,entities-and-resolution.rst,1746,fls_qbmp0blpoxx9,Path Expression Resolution,8f95531de31ad39cef0600be7c54a09f28bf0dbc,src/entities-and-resolution.rst:1746,completed,resolved-high,8f95531de31a,,,Imported from prior remediation ledger row PQ-053
WA-005,construct,WA,v2-foundational,entities-and-resolution.rst,527,fls_3nqb7p5ifvio,Generic Parameter Scope,19e75856eac5694e5d613c7c59b429848d333992,general.rst,158,lexical-elements.rst,Comments,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=construct,move,Moved canonical :dt: from entities-and-resolution.rst::Generic Parameter Scope to generics.rst::Where Clauses and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before entities-and-resolution.rst:26 fls_t1kEzrZaE1Af the definition was far from active generic legality checks; after generics.rst:283 fls_3nqb7p5ifvio it sits in where-clause validity wording and keeps Rust 2021 meaning unchanged.,pass,none,none,generics.rst,283,fls_3nqb7p5ifvio,Where Clauses,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/generics.rst:283,completed,resolved-high,e36e04ac1815,,,Imported from prior remediation ledger row PQ-010
WA-006,entity,WA,v2-foundational,entities-and-resolution.rst,1537,fls_p23q1ob2qitz,Path Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,665,expressions.rst,Path Expressions,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=entity,move,Moved canonical :dt: from entities-and-resolution.rst::Path Resolution to entities-and-resolution.rst::Path Resolution and retained traceability to prior remediation evidence.,relocate-conceptual-owner,Before entities-and-resolution.rst:30 fls_x7j6wcigqt7u was abstract and distant from active path resolution behavior; after entities-and-resolution.rst:1530 fls_p23q1ob2qitz the term is defined at resolution legality with no Rust 2021 semantic change.,pass,none,none,entities-and-resolution.rst,1530,fls_p23q1ob2qitz,Path Resolution,3c513af76bfe06a66ce8a8bb283a56a6cf639c95,src/entities-and-resolution.rst:1530,completed,resolved-high,3c513af76bfe,,,Imported from prior remediation ledger row PQ-112
WA-007,name,WA,v2-foundational,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,488,lexical-elements.rst,Identifiers,low_forward_ref,acceptable_at_home,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=name,move,Moved canonical :dt: from entities-and-resolution.rst::Visibility to entities-and-resolution.rst::Visibility and retained traceability to prior remediation evidence.,relocate-conceptual-owner,Before entities-and-resolution.rst:38 fls_40d2g0hvq2il placed the term before visibility ownership was established; after entities-and-resolution.rst:151 fls_7kpepal8ghuj it is defined in visibility constraints where lookup scope matters with no Rust 2021 semantic change.,pass,none,none,entities-and-resolution.rst,151,fls_7kpepal8ghuj,Visibility,69af449c36447c82f24e1ec8021f28ed6ac5f57f,src/entities-and-resolution.rst:151,completed,resolved-high,69af449c3644,,,Imported from prior remediation ledger row PQ-036
WA-008,item,WA,v2-foundational,macros.rst,498,fls_knjsslplv5ri,Attribute Macros,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,497,macros.rst,Macro Expansion,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=item,move,Moved canonical :dt: from macros.rst::Attribute Macros to macros.rst::Macro Expansion and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before entities-and-resolution.rst:34 fls_ogrs6SwlsaKg the term was distant from this batch first-use in macro replacement rules; after macros.rst:498 fls_knjsslplv5ri it is defined where attribute macros consume and emit items with no Rust 2021 semantic change.,pass,none,none,macros.rst,498,fls_knjsslplv5ri,Macro Expansion,69af449c36447c82f24e1ec8021f28ed6ac5f57f,src/macros.rst:498,completed,resolved-high,69af449c3644,,,Imported from prior remediation ledger row PQ-028
WA-009,field,WA,v2-foundational,patterns.rst,844,fls_mnh35ehva8tx,Record Struct Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1039,expressions.rst,Borrow Expression,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=field,move,Moved canonical :dt: from patterns.rst::Record Struct Patterns to patterns.rst::Record Struct Patterns and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:733 fls_74bRiJktNHvk the definition was abstract and distant from matching behavior; after patterns.rst:829 fls_mnh35ehva8tx it appears at indexed deconstruction usage and keeps Rust 2021 semantics intact.,pass,none,none,patterns.rst,829,fls_mnh35ehva8tx,Record Struct Patterns,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/patterns.rst:829,completed,resolved-high,e36e04ac1815,,,Imported from prior remediation ledger row PQ-016
WA-010,reference,WA,v2-foundational,expressions.rst,1019,fls_ya77l2zgtilp,Borrow Expression,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1006,ownership-and-deconstruction.rst,References,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=reference,move,Moved canonical :dt: from expressions.rst::Borrow Expression to expressions.rst::Borrow Expression and retained traceability to prior remediation evidence.,relocate-first-use-owner,"Before ownership-and-deconstruction.rst:93 fls_7x9pi2o7pee7, readers had to jump chapters from borrow semantics to find the term; after expressions.rst:1012 fls_ya77l2zgtilp, reference is defined at the first borrow-expression rule that creates it, improving first-use discoverability with no Rust 2021 semantic change.",pass,none,none,expressions.rst,1012,fls_ya77l2zgtilp,Borrow Expression,cf1d449c54f72aebf5f22d78f1a2376dccb02988,src/expressions.rst:1012,completed,resolved-high,cf1d449c54f7,,,Imported from prior remediation ledger row PQ-163
