wave,commit_hash,term_count,checklist_ids,terms
WA,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,3,WA-002 WA-005 WA-009,construct | expression | field
WB,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,13,WB-006 WB-008 WB-018 WB-022 WB-025 WB-029 WB-030 WB-031 WB-036 WB-042 WB-059 WB-071 WB-082,[unifiable type]s | arity | associated trait constant | attribute content | borrowed | c | code point | container operand | dangling | enum variant value | field index | function | function body
WA,69af449c36447c82f24e1ec8021f28ed6ac5f57f,4,WA-007 WA-008 WA-011 WA-012,implementation | item | method | name
WB,69af449c36447c82f24e1ec8021f28ed6ac5f57f,8,WB-020 WB-026 WB-037 WB-040 WB-047 WB-057 WB-073 WB-085,generic substitution | immutable | mutable | mutable static | mutable variable | pattern-without-alternation | pattern-without-range | pointer
WA,8f95531de31ad39cef0600be7c54a09f28bf0dbc,2,WA-004 WA-015,statement | trait
WB,8f95531de31ad39cef0600be7c54a09f28bf0dbc,8,WB-002 WB-013 WB-015 WB-033 WB-050 WB-062 WB-064 WB-084,record enum variant | renaming | safety invariant | self parameter | size | temporary | type parameter | type specification
WA,3e76012a8b3c70058bfbdcddb7156b1dbd284cb0,1,WA-001,value
WB,3e76012a8b3c70058bfbdcddb7156b1dbd284cb0,6,WB-005 WB-010 WB-017 WB-048 WB-049 WB-079,associated constant | associated function | unit enum variant | unsafe context | variable | where clause
WB,347ef54c342c3dad2121f1b7a4a737a1a4c9a5a0,8,WB-003 WB-012 WB-054 WB-066 WB-067 WB-072 WB-075 WB-081,associated item | associated trait function | associated type | binary crate | binding argument | concrete type | constant parameter | constant parameter initializer
WA,3c513af76bfe06a66ce8a8bb283a56a6cf639c95,2,WA-006 WA-013,crate | entity
WB,3c513af76bfe06a66ce8a8bb283a56a6cf639c95,13,WB-011 WB-021 WB-024 WB-028 WB-039 WB-041 WB-043 WB-044 WB-045 WB-046 WB-055 WB-056 WB-077,crate root module | destructor | discriminant | discriminant initializer | elaboration | element type | escaped character | evaluation | execution | exported function | expression-with-block | external function | external function item type
WB,63675ef2e903e465618ce0f58a45874e945a4b57,10,WB-001 WB-004 WB-014 WB-032 WB-035 WB-061 WB-065 WB-068 WB-076 WB-078,external static | field list | floating-point type | future | generic function | immutable reference | implementation body | implicit borrow | inherent implementation | irrefutable pattern
WA,4033caf781e53b582d3349e6983694e5c9e371bb,1,WA-014,module
WB,4033caf781e53b582d3349e6983694e5c9e371bb,2,WB-069 WB-086,label | qualified type
WA,cf1d449c54f72aebf5f22d78f1a2376dccb02988,1,WA-010,reference
WB,cf1d449c54f72aebf5f22d78f1a2376dccb02988,8,WB-009 WB-023 WB-027 WB-034 WB-051 WB-052 WB-070 WB-074,receiver operand | scalar type | separator | signed integer type | static | static initializer | struct pattern | structurally equal
WA,26e6f487a9270d75b1ff58d17e6bf82f81f89405,1,WA-003,type
WB,26e6f487a9270d75b1ff58d17e6bf82f81f89405,10,WB-016 WB-019 WB-038 WB-053 WB-058 WB-060 WB-063 WB-080 WB-087 WB-088,trait body | trait implementation | tuple | tuple enum variant | tuple struct | tuple struct type | type path | underscore expression | union value | unit struct
WB,19e75856eac5694e5d613c7c59b429848d333992,3,WB-007 WB-083 WB-089,base initializer | qualifying trait | undefined behavior
