group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
egress_forwarding,single_route_dispatch,,,,8174501.0,ns,27718
egress_forwarding,single_route_dispatch,,,,13184660.0,ns,55436
egress_forwarding,single_route_dispatch,,,,20897707.0,ns,83154
egress_forwarding,single_route_dispatch,,,,32322259.0,ns,110872
egress_forwarding,single_route_dispatch,,,,33813660.0,ns,138590
egress_forwarding,single_route_dispatch,,,,41013755.0,ns,166308
egress_forwarding,single_route_dispatch,,,,46529824.0,ns,194026
egress_forwarding,single_route_dispatch,,,,52492556.0,ns,221744
egress_forwarding,single_route_dispatch,,,,59059990.0,ns,249462
egress_forwarding,single_route_dispatch,,,,65888755.0,ns,277180
egress_forwarding,single_route_dispatch,,,,71487240.0,ns,304898
egress_forwarding,single_route_dispatch,,,,78153757.0,ns,332616
egress_forwarding,single_route_dispatch,,,,84635608.0,ns,360334
egress_forwarding,single_route_dispatch,,,,90850712.0,ns,388052
egress_forwarding,single_route_dispatch,,,,97357981.0,ns,415770
egress_forwarding,single_route_dispatch,,,,103726792.0,ns,443488
egress_forwarding,single_route_dispatch,,,,110575598.0,ns,471206
egress_forwarding,single_route_dispatch,,,,117590944.0,ns,498924
egress_forwarding,single_route_dispatch,,,,123530968.0,ns,526642
egress_forwarding,single_route_dispatch,,,,130105902.0,ns,554360
egress_forwarding,single_route_dispatch,,,,136754293.0,ns,582078
egress_forwarding,single_route_dispatch,,,,144226385.0,ns,609796
egress_forwarding,single_route_dispatch,,,,151774059.0,ns,637514
egress_forwarding,single_route_dispatch,,,,156316638.0,ns,665232
egress_forwarding,single_route_dispatch,,,,163188777.0,ns,692950
egress_forwarding,single_route_dispatch,,,,172198437.0,ns,720668
egress_forwarding,single_route_dispatch,,,,175612945.0,ns,748386
egress_forwarding,single_route_dispatch,,,,182415668.0,ns,776104
egress_forwarding,single_route_dispatch,,,,188498190.0,ns,803822
egress_forwarding,single_route_dispatch,,,,194979208.0,ns,831540
egress_forwarding,single_route_dispatch,,,,201779474.0,ns,859258
egress_forwarding,single_route_dispatch,,,,209067484.0,ns,886976
egress_forwarding,single_route_dispatch,,,,216549741.0,ns,914694
egress_forwarding,single_route_dispatch,,,,223777169.0,ns,942412
egress_forwarding,single_route_dispatch,,,,234024274.0,ns,970130
egress_forwarding,single_route_dispatch,,,,238224191.0,ns,997848
egress_forwarding,single_route_dispatch,,,,240854248.0,ns,1025566
egress_forwarding,single_route_dispatch,,,,247015394.0,ns,1053284
egress_forwarding,single_route_dispatch,,,,255542434.0,ns,1081002
egress_forwarding,single_route_dispatch,,,,260708340.0,ns,1108720
egress_forwarding,single_route_dispatch,,,,267233066.0,ns,1136438
egress_forwarding,single_route_dispatch,,,,273108382.0,ns,1164156
egress_forwarding,single_route_dispatch,,,,280027980.0,ns,1191874
egress_forwarding,single_route_dispatch,,,,285674548.0,ns,1219592
egress_forwarding,single_route_dispatch,,,,295382783.0,ns,1247310
egress_forwarding,single_route_dispatch,,,,300073070.0,ns,1275028
egress_forwarding,single_route_dispatch,,,,305627639.0,ns,1302746
egress_forwarding,single_route_dispatch,,,,312725526.0,ns,1330464
egress_forwarding,single_route_dispatch,,,,319058295.0,ns,1358182
egress_forwarding,single_route_dispatch,,,,325566647.0,ns,1385900
egress_forwarding,single_route_dispatch,,,,331736710.0,ns,1413618
egress_forwarding,single_route_dispatch,,,,337626234.0,ns,1441336
egress_forwarding,single_route_dispatch,,,,345153576.0,ns,1469054
egress_forwarding,single_route_dispatch,,,,352014215.0,ns,1496772
egress_forwarding,single_route_dispatch,,,,357981196.0,ns,1524490
egress_forwarding,single_route_dispatch,,,,370859775.0,ns,1552208
egress_forwarding,single_route_dispatch,,,,371335771.0,ns,1579926
egress_forwarding,single_route_dispatch,,,,379394357.0,ns,1607644
egress_forwarding,single_route_dispatch,,,,384733594.0,ns,1635362
egress_forwarding,single_route_dispatch,,,,389768252.0,ns,1663080
