group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ingress_registry,register_route,,,,7238510.0,ns,6
ingress_registry,register_route,,,,13856654.0,ns,12
ingress_registry,register_route,,,,20543500.0,ns,18
ingress_registry,register_route,,,,26976729.0,ns,24
ingress_registry,register_route,,,,33141040.0,ns,30
ingress_registry,register_route,,,,41285918.0,ns,36
ingress_registry,register_route,,,,48260472.0,ns,42
ingress_registry,register_route,,,,54494369.0,ns,48
ingress_registry,register_route,,,,63101785.0,ns,54
ingress_registry,register_route,,,,72164567.0,ns,60
ingress_registry,register_route,,,,77953092.0,ns,66
ingress_registry,register_route,,,,86334217.0,ns,72
ingress_registry,register_route,,,,89791721.0,ns,78
ingress_registry,register_route,,,,96599616.0,ns,84
ingress_registry,register_route,,,,106613595.0,ns,90
ingress_registry,register_route,,,,110540098.0,ns,96
ingress_registry,register_route,,,,115406384.0,ns,102
ingress_registry,register_route,,,,118706644.0,ns,108
ingress_registry,register_route,,,,124819332.0,ns,114
ingress_registry,register_route,,,,131442138.0,ns,120
ingress_registry,register_route,,,,137801116.0,ns,126
ingress_registry,register_route,,,,150958444.0,ns,132
ingress_registry,register_route,,,,158591988.0,ns,138
ingress_registry,register_route,,,,163342774.0,ns,144
ingress_registry,register_route,,,,176258313.0,ns,150
ingress_registry,register_route,,,,187215412.0,ns,156
ingress_registry,register_route,,,,185663009.0,ns,162
ingress_registry,register_route,,,,191083622.0,ns,168
ingress_registry,register_route,,,,193136019.0,ns,174
ingress_registry,register_route,,,,199173170.0,ns,180
ingress_registry,register_route,,,,207362210.0,ns,186
ingress_registry,register_route,,,,211521333.0,ns,192
ingress_registry,register_route,,,,218511679.0,ns,198
ingress_registry,register_route,,,,224505660.0,ns,204
ingress_registry,register_route,,,,233743485.0,ns,210
ingress_registry,register_route,,,,238482313.0,ns,216
ingress_registry,register_route,,,,244020008.0,ns,222
ingress_registry,register_route,,,,251407020.0,ns,228
ingress_registry,register_route,,,,271106235.0,ns,234
ingress_registry,register_route,,,,268800175.0,ns,240
ingress_registry,register_route,,,,272358014.0,ns,246
ingress_registry,register_route,,,,281093803.0,ns,252
ingress_registry,register_route,,,,283876192.0,ns,258
ingress_registry,register_route,,,,297514346.0,ns,264
ingress_registry,register_route,,,,297042184.0,ns,270
ingress_registry,register_route,,,,306365047.0,ns,276
ingress_registry,register_route,,,,316506821.0,ns,282
ingress_registry,register_route,,,,327094548.0,ns,288
ingress_registry,register_route,,,,335892627.0,ns,294
ingress_registry,register_route,,,,339022261.0,ns,300
ingress_registry,register_route,,,,338842180.0,ns,306
ingress_registry,register_route,,,,344710121.0,ns,312
ingress_registry,register_route,,,,367091942.0,ns,318
ingress_registry,register_route,,,,358881187.0,ns,324
ingress_registry,register_route,,,,365672744.0,ns,330
ingress_registry,register_route,,,,377644417.0,ns,336
ingress_registry,register_route,,,,378744531.0,ns,342
ingress_registry,register_route,,,,384858840.0,ns,348
ingress_registry,register_route,,,,390053667.0,ns,354
ingress_registry,register_route,,,,397233347.0,ns,360
