group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ingress_registry,unregister_route,,,,7073346.0,ns,6
ingress_registry,unregister_route,,,,13523531.0,ns,12
ingress_registry,unregister_route,,,,19704677.0,ns,18
ingress_registry,unregister_route,,,,26383193.0,ns,24
ingress_registry,unregister_route,,,,32711672.0,ns,30
ingress_registry,unregister_route,,,,39594063.0,ns,36
ingress_registry,unregister_route,,,,45863958.0,ns,42
ingress_registry,unregister_route,,,,52471096.0,ns,48
ingress_registry,unregister_route,,,,59206155.0,ns,54
ingress_registry,unregister_route,,,,66582416.0,ns,60
ingress_registry,unregister_route,,,,75295204.0,ns,66
ingress_registry,unregister_route,,,,84394028.0,ns,72
ingress_registry,unregister_route,,,,89782347.0,ns,78
ingress_registry,unregister_route,,,,94929504.0,ns,84
ingress_registry,unregister_route,,,,99542416.0,ns,90
ingress_registry,unregister_route,,,,104812865.0,ns,96
ingress_registry,unregister_route,,,,111934292.0,ns,102
ingress_registry,unregister_route,,,,124955036.0,ns,108
ingress_registry,unregister_route,,,,128618541.0,ns,114
ingress_registry,unregister_route,,,,131777259.0,ns,120
ingress_registry,unregister_route,,,,138434151.0,ns,126
ingress_registry,unregister_route,,,,144740215.0,ns,132
ingress_registry,unregister_route,,,,151193354.0,ns,138
ingress_registry,unregister_route,,,,157636543.0,ns,144
ingress_registry,unregister_route,,,,164762885.0,ns,150
ingress_registry,unregister_route,,,,172186769.0,ns,156
ingress_registry,unregister_route,,,,178336917.0,ns,162
ingress_registry,unregister_route,,,,184337442.0,ns,168
ingress_registry,unregister_route,,,,190836666.0,ns,174
ingress_registry,unregister_route,,,,200957316.0,ns,180
ingress_registry,unregister_route,,,,208916901.0,ns,186
ingress_registry,unregister_route,,,,214335474.0,ns,192
ingress_registry,unregister_route,,,,232080336.0,ns,198
ingress_registry,unregister_route,,,,244871751.0,ns,204
ingress_registry,unregister_route,,,,241868654.0,ns,210
ingress_registry,unregister_route,,,,247471017.0,ns,216
ingress_registry,unregister_route,,,,250780608.0,ns,222
ingress_registry,unregister_route,,,,253460827.0,ns,228
ingress_registry,unregister_route,,,,265624706.0,ns,234
ingress_registry,unregister_route,,,,269023799.0,ns,240
ingress_registry,unregister_route,,,,273856415.0,ns,246
ingress_registry,unregister_route,,,,277664545.0,ns,252
ingress_registry,unregister_route,,,,285070263.0,ns,258
ingress_registry,unregister_route,,,,291733948.0,ns,264
ingress_registry,unregister_route,,,,296583648.0,ns,270
ingress_registry,unregister_route,,,,303205746.0,ns,276
ingress_registry,unregister_route,,,,310889211.0,ns,282
ingress_registry,unregister_route,,,,326104224.0,ns,288
ingress_registry,unregister_route,,,,339926503.0,ns,294
ingress_registry,unregister_route,,,,337110865.0,ns,300
ingress_registry,unregister_route,,,,338707140.0,ns,306
ingress_registry,unregister_route,,,,344738621.0,ns,312
ingress_registry,unregister_route,,,,350937060.0,ns,318
ingress_registry,unregister_route,,,,361551911.0,ns,324
ingress_registry,unregister_route,,,,369223002.0,ns,330
ingress_registry,unregister_route,,,,384646720.0,ns,336
ingress_registry,unregister_route,,,,382429201.0,ns,342
ingress_registry,unregister_route,,,,392291684.0,ns,348
ingress_registry,unregister_route,,,,390362955.0,ns,354
ingress_registry,unregister_route,,,,399349364.0,ns,360
