group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
publish_resolution,source_filter_derivation,,,,10589102.0,ns,79
publish_resolution,source_filter_derivation,,,,13495781.0,ns,158
publish_resolution,source_filter_derivation,,,,20688834.0,ns,237
publish_resolution,source_filter_derivation,,,,26530442.0,ns,316
publish_resolution,source_filter_derivation,,,,33696995.0,ns,395
publish_resolution,source_filter_derivation,,,,39497771.0,ns,474
publish_resolution,source_filter_derivation,,,,46606949.0,ns,553
publish_resolution,source_filter_derivation,,,,54087790.0,ns,632
publish_resolution,source_filter_derivation,,,,61933379.0,ns,711
publish_resolution,source_filter_derivation,,,,68612187.0,ns,790
publish_resolution,source_filter_derivation,,,,74357295.0,ns,869
publish_resolution,source_filter_derivation,,,,79372912.0,ns,948
publish_resolution,source_filter_derivation,,,,85628683.0,ns,1027
publish_resolution,source_filter_derivation,,,,94414719.0,ns,1106
publish_resolution,source_filter_derivation,,,,101155943.0,ns,1185
publish_resolution,source_filter_derivation,,,,105043946.0,ns,1264
publish_resolution,source_filter_derivation,,,,111845920.0,ns,1343
publish_resolution,source_filter_derivation,,,,116001003.0,ns,1422
publish_resolution,source_filter_derivation,,,,122762768.0,ns,1501
publish_resolution,source_filter_derivation,,,,133271162.0,ns,1580
publish_resolution,source_filter_derivation,,,,138589193.0,ns,1659
publish_resolution,source_filter_derivation,,,,145644164.0,ns,1738
publish_resolution,source_filter_derivation,,,,154430617.0,ns,1817
publish_resolution,source_filter_derivation,,,,162828908.0,ns,1896
publish_resolution,source_filter_derivation,,,,169139428.0,ns,1975
publish_resolution,source_filter_derivation,,,,174670039.0,ns,2054
publish_resolution,source_filter_derivation,,,,181511929.0,ns,2133
publish_resolution,source_filter_derivation,,,,187369787.0,ns,2212
publish_resolution,source_filter_derivation,,,,197029898.0,ns,2291
publish_resolution,source_filter_derivation,,,,203610207.0,ns,2370
publish_resolution,source_filter_derivation,,,,207675916.0,ns,2449
publish_resolution,source_filter_derivation,,,,211146840.0,ns,2528
publish_resolution,source_filter_derivation,,,,213254110.0,ns,2607
publish_resolution,source_filter_derivation,,,,222852848.0,ns,2686
publish_resolution,source_filter_derivation,,,,227000097.0,ns,2765
publish_resolution,source_filter_derivation,,,,237354035.0,ns,2844
publish_resolution,source_filter_derivation,,,,246127697.0,ns,2923
publish_resolution,source_filter_derivation,,,,249007835.0,ns,3002
publish_resolution,source_filter_derivation,,,,252382009.0,ns,3081
publish_resolution,source_filter_derivation,,,,259920142.0,ns,3160
publish_resolution,source_filter_derivation,,,,275220030.0,ns,3239
publish_resolution,source_filter_derivation,,,,282801621.0,ns,3318
publish_resolution,source_filter_derivation,,,,289719010.0,ns,3397
publish_resolution,source_filter_derivation,,,,287246576.0,ns,3476
publish_resolution,source_filter_derivation,,,,289312597.0,ns,3555
publish_resolution,source_filter_derivation,,,,308021077.0,ns,3634
publish_resolution,source_filter_derivation,,,,325109279.0,ns,3713
publish_resolution,source_filter_derivation,,,,326388392.0,ns,3792
publish_resolution,source_filter_derivation,,,,334141147.0,ns,3871
publish_resolution,source_filter_derivation,,,,338999723.0,ns,3950
publish_resolution,source_filter_derivation,,,,342580438.0,ns,4029
publish_resolution,source_filter_derivation,,,,348045842.0,ns,4108
publish_resolution,source_filter_derivation,,,,352708919.0,ns,4187
publish_resolution,source_filter_derivation,,,,359072272.0,ns,4266
publish_resolution,source_filter_derivation,,,,365331002.0,ns,4345
publish_resolution,source_filter_derivation,,,,369749832.0,ns,4424
publish_resolution,source_filter_derivation,,,,379067487.0,ns,4503
publish_resolution,source_filter_derivation,,,,388388808.0,ns,4582
publish_resolution,source_filter_derivation,,,,397131970.0,ns,4661
publish_resolution,source_filter_derivation,,,,406781790.0,ns,4740
