group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
routing_lookup,wildcard_authority,,,,6516893.0,ns,96
routing_lookup,wildcard_authority,,,,13204201.0,ns,192
routing_lookup,wildcard_authority,,,,19857801.0,ns,288
routing_lookup,wildcard_authority,,,,26325694.0,ns,384
routing_lookup,wildcard_authority,,,,32512465.0,ns,480
routing_lookup,wildcard_authority,,,,39340939.0,ns,576
routing_lookup,wildcard_authority,,,,45490211.0,ns,672
routing_lookup,wildcard_authority,,,,51842938.0,ns,768
routing_lookup,wildcard_authority,,,,58734952.0,ns,864
routing_lookup,wildcard_authority,,,,64497103.0,ns,960
routing_lookup,wildcard_authority,,,,72980851.0,ns,1056
routing_lookup,wildcard_authority,,,,78031300.0,ns,1152
routing_lookup,wildcard_authority,,,,83934825.0,ns,1248
routing_lookup,wildcard_authority,,,,92057159.0,ns,1344
routing_lookup,wildcard_authority,,,,97992392.0,ns,1440
routing_lookup,wildcard_authority,,,,103305213.0,ns,1536
routing_lookup,wildcard_authority,,,,110286101.0,ns,1632
routing_lookup,wildcard_authority,,,,115846921.0,ns,1728
routing_lookup,wildcard_authority,,,,122615894.0,ns,1824
routing_lookup,wildcard_authority,,,,128355087.0,ns,1920
routing_lookup,wildcard_authority,,,,141306373.0,ns,2016
routing_lookup,wildcard_authority,,,,142400905.0,ns,2112
routing_lookup,wildcard_authority,,,,148724966.0,ns,2208
routing_lookup,wildcard_authority,,,,223793921.0,ns,2304
routing_lookup,wildcard_authority,,,,166925075.0,ns,2400
routing_lookup,wildcard_authority,,,,166496163.0,ns,2496
routing_lookup,wildcard_authority,,,,173986546.0,ns,2592
routing_lookup,wildcard_authority,,,,180759103.0,ns,2688
routing_lookup,wildcard_authority,,,,186866417.0,ns,2784
routing_lookup,wildcard_authority,,,,194291759.0,ns,2880
routing_lookup,wildcard_authority,,,,199455832.0,ns,2976
routing_lookup,wildcard_authority,,,,223696298.0,ns,3072
routing_lookup,wildcard_authority,,,,213505858.0,ns,3168
routing_lookup,wildcard_authority,,,,215163967.0,ns,3264
routing_lookup,wildcard_authority,,,,224671662.0,ns,3360
routing_lookup,wildcard_authority,,,,226209272.0,ns,3456
routing_lookup,wildcard_authority,,,,236214755.0,ns,3552
routing_lookup,wildcard_authority,,,,241539410.0,ns,3648
routing_lookup,wildcard_authority,,,,245414829.0,ns,3744
routing_lookup,wildcard_authority,,,,252303261.0,ns,3840
routing_lookup,wildcard_authority,,,,256100681.0,ns,3936
routing_lookup,wildcard_authority,,,,263642479.0,ns,4032
routing_lookup,wildcard_authority,,,,279626111.0,ns,4128
routing_lookup,wildcard_authority,,,,284860309.0,ns,4224
routing_lookup,wildcard_authority,,,,292382399.0,ns,4320
routing_lookup,wildcard_authority,,,,294763167.0,ns,4416
routing_lookup,wildcard_authority,,,,303892409.0,ns,4512
routing_lookup,wildcard_authority,,,,334559768.0,ns,4608
routing_lookup,wildcard_authority,,,,322413432.0,ns,4704
routing_lookup,wildcard_authority,,,,325975604.0,ns,4800
routing_lookup,wildcard_authority,,,,333206073.0,ns,4896
routing_lookup,wildcard_authority,,,,338924558.0,ns,4992
routing_lookup,wildcard_authority,,,,349243996.0,ns,5088
routing_lookup,wildcard_authority,,,,352063176.0,ns,5184
routing_lookup,wildcard_authority,,,,357258874.0,ns,5280
routing_lookup,wildcard_authority,,,,360941753.0,ns,5376
routing_lookup,wildcard_authority,,,,376266225.0,ns,5472
routing_lookup,wildcard_authority,,,,376441557.0,ns,5568
routing_lookup,wildcard_authority,,,,379378236.0,ns,5664
routing_lookup,wildcard_authority,,,,386837369.0,ns,5760
